"ProteinID","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","direction"
"PSME1",-1.83209394423591,28.5281279757329,-21.6346807559958,1.07576724052026e-06,0.00371942980595097,5.63532476924283,TRUE,"Down in KD"
"TMEM14C",-4.22253326110065,25.5247208993383,-19.4128256384242,1.98190948065355e-06,0.00371942980595097,5.27099208323388,TRUE,"Down in KD"
"JAGN1",-3.96592800386248,25.1581209908844,-19.3035957595158,2.04589098237127e-06,0.00371942980595097,5.25100539649956,TRUE,"Down in KD"
"DNAJB14",-2.31484709352264,24.0453385727862,-16.1849799213167,5.50351807073917e-06,0.00737558498013205,4.5779364303197,TRUE,"Down in KD"
"PIEZO1",1.97734679642635,24.1677473799054,15.6003110169979,6.76162906136051e-06,0.00737558498013205,4.42590199947885,TRUE,"Up in KD"
"POLR3E",1.35938426815002,24.2215234944013,14.8147357897657,9.02378985934543e-06,0.008202624982145,4.20611216141707,TRUE,"Up in KD"
"DVL1P1",1.49617777140033,23.5007518098412,13.8390483958824,1.3189073352984e-05,0.0102761722953107,3.90562354545416,TRUE,"Up in KD"
"PPP1R14B",1.37203425607718,26.829989208709,12.9542195961572,1.90339367015899e-05,0.0129763863463089,3.60337042613134,TRUE,"Up in KD"
"BSDC1",2.02845819088225,24.3620055753443,12.1144506884282,2.75752592944682e-05,0.0152694047543109,3.28679833069104,TRUE,"Up in KD"
"CTTNBP2NL",2.95997521280364,24.4624172694639,11.7539434691963,3.25733315340748e-05,0.0152694047543109,3.14108306955956,TRUE,"Up in KD"
"SERPINE1",-1.36229167594477,26.3728277568131,-11.7094092282936,3.32615092317957e-05,0.0152694047543109,3.12264781644211,TRUE,"Down in KD"
"SEC23B",1.13017625808508,27.0488279314207,11.6881473859554,3.35960500644903e-05,0.0152694047543109,3.11381189356124,TRUE,"Up in KD"
"SETDB1",1.69794014743001,24.363555449937,11.2400882170215,4.16513835965497e-05,0.0160607909352147,2.9222958756291,TRUE,"Up in KD"
"XXYLT1",2.69294736305774,24.5717710295737,11.1776686130725,4.29443040062565e-05,0.0160607909352147,2.89478846550649,TRUE,"Up in KD"
"DICER1",-1.08007660238461,25.7351879805679,-11.120416290831,4.41715922310636e-05,0.0160607909352147,2.86937515181077,TRUE,"Down in KD"
"RPTOR",1.58821419863333,23.9634779347958,10.1272204463142,7.36553172323933e-05,0.025107256261592,2.39896126209597,TRUE,"Up in KD"
"EIF3J",2.9091367828374,24.2154251692303,9.73038749692395,9.15217807068272e-05,0.025982268487438,2.19413676661449,TRUE,"Up in KD"
"SLC36A1",2.80057379740084,25.1123622933557,9.73001185849177,9.15409424883095e-05,0.025982268487438,2.19393797009174,TRUE,"Up in KD"
"TMBIM6",-1.38818838315087,26.7275979854743,-9.62081799635675,9.73148801298711e-05,0.025982268487438,2.13574524530407,TRUE,"Down in KD"
"PDHX",-0.964738171396423,26.078228292103,-9.41781920961617,0.000109217360321167,0.025982268487438,2.0253794950907,FALSE,"NS"
"CDK6",-3.24386469778102,25.0949367625386,-9.35644398974828,0.000113144498640689,0.025982268487438,1.99144104073358,TRUE,"Down in KD"
"PDHA1",-1.08884801915812,27.8255557980468,-9.29879186936122,0.000116984071315856,0.025982268487438,1.95931587305152,TRUE,"Down in KD"
"CPEB4",-0.784262259424679,25.2079011154314,-9.28155675933062,0.000118161252213972,0.025982268487438,1.94966552966868,FALSE,"NS"
"ATP11A",-1.62363817713683,23.9186710716175,-9.2696249066521,0.00011898430257815,0.025982268487438,1.9429720006264,TRUE,"Down in KD"
"SLC38A2",-0.97988979432629,27.5976801916246,-9.2679941811895,0.000119097306964788,0.025982268487438,1.9420563940986,FALSE,"NS"
"ERMP1",-0.837079623494738,28.7081109975916,-9.15740122291416,0.000127061368802665,0.02600715521989,1.87950814788241,FALSE,"NS"
"SFXN1",-0.8124546344125,29.0067285425336,-9.13501170667157,0.000128748293167772,0.02600715521989,1.86673567709913,FALSE,"NS"
"ADAM10",-0.949641388025963,27.6567481905767,-8.64280298086275,0.00017334599759548,0.0301036104307223,1.57628778235804,FALSE,"NS"
"VAMP3",-3.07036041667716,24.3556204858801,-8.63642825727823,0.000174031902110373,0.0301036104307223,1.57240127610429,TRUE,"Down in KD"
"EGFR",-0.672639060389393,29.6125353202702,-8.62710258345971,0.0001750410204742,0.0301036104307223,1.5667097319795,FALSE,"NS"
"THG1L",0.958774955438763,26.1270635731089,8.61404174079504,0.000176465786702198,0.0301036104307223,1.55872674098995,FALSE,"NS"
"SPRY4",1.09536178565115,25.1007746261735,8.61258520640096,0.000176625510411279,0.0301036104307223,1.55783562706186,TRUE,"Up in KD"
"PLOD2",-0.730060829710528,30.3200350560815,-8.36975728224672,0.000205771467518471,0.0321300560111424,1.4068313128773,FALSE,"NS"
"PDHB",-1.23523849336182,25.6093053829361,-8.36935465942155,0.000205824241088293,0.0321300560111424,1.40657685158556,TRUE,"Down in KD"
"MPP6",-0.837296224428375,26.0033750521041,-8.36657907284572,0.000206188478252656,0.0321300560111424,1.40482228216176,FALSE,"NS"
"ANTXR1",0.708344094308558,27.2177528450091,8.2893852065117,0.000216625408257741,0.0328187493510478,1.35576212243999,FALSE,"NS"
"SMOX",0.933809415975801,25.8714612118792,8.20215623170163,0.000229166779821057,0.0334048386265544,1.29970825580719,FALSE,"NS"
"ALDH6A1",-1.03905822819395,25.2791843242511,-8.06323552128758,0.000250926289976864,0.0334048386265544,1.2090637000914,TRUE,"Down in KD"
"ABCC3",0.648392770168744,28.1145092322125,8.0417973535542,0.00025449397956313,0.0334048386265544,1.19492302739466,FALSE,"NS"
"EPS8",-0.689002111093824,26.6560456420915,-8.04032090380413,0.000254741849098355,0.0334048386265544,1.1939476426153,FALSE,"NS"
"POLD1",0.702301994501049,25.5489387498541,7.98994428838181,0.000263369726743976,0.0334048386265544,1.16054997122423,FALSE,"NS"
"GLS",-1.06615735161375,30.4400064681917,-7.97790661783147,0.000265481362163902,0.0334048386265544,1.15253557324784,TRUE,"Down in KD"
"CLCN5",-1.51031280479202,23.9966468789785,-7.97060633149829,0.000266771552807822,0.0334048386265544,1.14766881726478,TRUE,"Down in KD"
"MSRB3",0.836343969186711,25.2546174938024,7.95534317018942,0.000269492647518958,0.0334048386265544,1.1374779515692,FALSE,"NS"
"CADM1",-1.21498932056098,25.7114067448295,-7.79672684740972,0.000299766086287533,0.036331649658049,1.0303077165532,TRUE,"Down in KD"
"PTPN3",2.67538108669897,24.4293039149396,7.7264795971506,0.000314424074938906,0.0372797587981911,0.982096162185194,TRUE,"Up in KD"
"PSME2",-1.14102402196228,27.8812354396842,-7.65934640977442,0.000329215386289203,0.0382029939749216,0.935584885461508,TRUE,"Down in KD"
"DNMT1",0.851862048702564,25.2215863669823,7.6095394691466,0.000340712375562621,0.0387134436733028,0.90079858504983,FALSE,"NS"
"GALNT1",-1.31424408090084,26.2029059432894,-7.56371322181548,0.000351703946659983,0.0391468025527254,0.868580522405426,TRUE,"Down in KD"
"ALDH3B1",0.694879835531207,27.6417645947719,7.5191730754602,0.000362783282740765,0.0395724004813626,0.837070353025779,FALSE,"NS"
