ProteinID,Protein_Description,UniProt_Accession,logFC,AveExpr,t,P.Value,adj.P.Val,B,significant,direction
PSME1,Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha),Q06323,-1.83209394423591,28.5281279757329,-21.6346807559637,1.07576724060306e-06,0.0037194298142099,5.63532476921335,True,Down in KO
TMEM14C,Transmembrane protein 14C,Q9P0S9,-4.22253326192889,25.5247208997524,-19.4128256747694,1.98190945988613e-06,0.0037194298142099,5.27099208982222,True,Down in KO
JAGN1,Protein jagunal homolog 1,Q8N5M9,-3.96592800375725,25.1581209909371,-19.3035957521237,2.04589098691417e-06,0.0037194298142099,5.25100539511287,True,Down in KO
DNAJB14,DnaJ homolog subfamily B member 14,Q8TBM8,-2.31484709352264,24.0453385727862,-16.184979921273,5.50351807114057e-06,0.0073755849806525,4.57793643027914,True,Down in KO
PIEZO1,Piezo-type mechanosensitive ion channel component 1 (Membrane protein induced by beta-amyloid treatment) (Mib) (Protein FAM38A),Q92508,1.97734679642635,24.1677473799054,15.6003110169586,6.76162906183764e-06,0.0073755849806525,4.42590199943833,True,Up in KO
POLR3E,DNA-directed RNA polymerase III subunit RPC5 (RNA polymerase III subunit C5) (DNA-directed RNA polymerase III 80 kDa polypeptide),Q9NVU0,1.35938426804692,24.2215234943498,14.8147357855087,9.02378987430579e-06,0.0082026249957439,4.2061121601443,True,Up in KO
DVL1P1,Putative segment polarity protein dishevelled homolog DVL1P1 (DSH homolog 1-like) (Segment polarity protein dishevelled homolog DVL-1-like) (Dishevelled-1-like),P54792,1.49617777140033,23.5007518098412,13.8390483958519,1.31890733538332e-05,0.0102761722959723,3.90562354541314,True,Up in KO
PPP1R14B,Protein phosphatase 1 regulatory subunit 14,F5H2U0,1.37203425607718,26.829989208709,12.9542195961293,1.90339367027641e-05,0.0129763863471094,3.60337042608983,True,Up in KO
BSDC1,BSD domain-containing protein 1,Q9NW68,2.02845819088225,24.3620055753443,12.1144506883934,2.75752592962109e-05,0.0152694047551755,3.28679833064555,True,Up in KO
CTTNBP2NL,CTTNBP2 N-terminal-like protein,Q9P2B4,2.95997521280364,24.4624172694639,11.7539434691594,3.25733315361452e-05,0.0152694047551755,3.14108306951256,True,Up in KO
